mereka melakukannya!	mereka tidak !
haruskah kita memberinya nama?	dave ; ibu ;
haruskah kita mendapatkan apa?	menunjuk ke motel.
menunjuk ke motel.	Oh .
Di Sini ?	lebih banyak dengan cara ini.
lebih banyak dengan cara ini.	Oke. Berikan saya latihannya.
bisakah kamu mendapatkan ini? aku tidak bisa	Tentu .
oke mari kita katakan	jangan tunggu apel. apel.
kamu gila ?	Apa ?
Apa ?	Orang-orang dapat melihat ini.
Orang-orang dapat melihat ini.	Jadi ?
Jadi ?	Ini pribadi, ini untuk kami.
Ini pribadi, ini untuk kami.	Saya tahu .
Saya tahu .	tetapi orang lain juga dapat melihatnya.
tetapi orang lain juga dapat melihatnya.	saya tidak peduli .
saya tidak peduli .	Baiklah, aku melakukannya.
Kamu mau pergi kemana ?	aku tidak seperti kamu.
aku tidak seperti kamu.	Apa . . . ?
dia melakukan ini untuk membalas dendam padaku	untuk apa ?
untuk apa ?	Maksudku padamu.
Maksudku padamu.	untuk apa ?
uhhh . . . gigi . gigi .	Maaf .
Ya .	semoga berhasil!
semoga berhasil!	semoga sukses juga untukmu paul.
semoga sukses juga untukmu paul.	terima kasih !
Siapakah yang menyuruhmu melakukan hal ini?	Apa maksudmu ?
Siapakah yang menyuruhmu melakukan hal ini?	Hah? Oh hai Tracy
Tentu saja, Paul. Tidak ada perasaan kesal.	Oke. Bagus. Aku merasa baik.
Dasar bodoh!	apa yang harus aku lakukan ?
bagaimana kabar kiri sekarang?	Apa urusanmu?
kami berbicara.	jadi ceritakan padaku tentang hal itu.
jadi ceritakan padaku tentang hal itu.	di pagi hari .
di pagi hari .	tidak. sekarang. kau menidurinya.
jadi kamu menyelamatkannya.	ya. tapi tidak lama.
Mungkin aku hanya penasaran.	kamu bilang banyak banget yang sial.
kamu bilang banyak banget yang sial.	Kamu bercinta demi uang.
Ya .	apakah kamu menikmatinya ?
apakah kamu menikmatinya ?	ketika mereka layak mendapatkannya.
ketika mereka layak mendapatkannya.	apakah mereka pantas mendapatkannya hari ini?
apakah mereka pantas mendapatkannya hari ini?	saya tidak yakin.
saya tidak yakin.	tapi Anda tetap melakukannya.
Seperti yang kukatakan, kami bersahabat, bukan berteman.	bagaimana dia bertemu patchett?
ceritakan padaku tentang patchett.	dia menunggu kamu menyebutkannya.
dia menunggu kamu menyebutkannya.	Anda ingin saran nona Bracken?
Anda ingin saran nona Bracken?	itu lynn.
Bisakah aku ambilkan minuman untukmu?	ya scotch biasa.
seseorang memukulmu?	itu bukan seperti apa yang kamu pikirkan.
selamat natal .	selamat natal untukmu sendiri, petugas.
selamat natal untukmu sendiri, petugas.	Itu jelas ya?
Itu jelas ya?	Itu praktis tertera di dahi Anda.
Beri aku waktu satu menit.	kamu benar wendell.
maukah kamu bekerja untukku?	Tentu saja... tapi bagaimana?
Tentu saja... tapi bagaimana?	gimana apa wendell?
Kapten, apa yang kamu inginkan?	panggil saja aku Dudley.
panggil saja aku Dudley.	Dudley, apa yang kamu inginkan?
Nak, bolehkah aku bicara denganmu?	kapten bisnis ini?
Hai kawan. Ambilah secangkir.	aku harus menulis laporanku terlebih dulu.
apakah itu... seekor tikus?	ya. yang sangat besar.
apa yang lewat sini ?	tidak! silakan pergi!
mungkin. aku tidak tahu.	Lihat gambarnya untuk saya.
Biarkan putriku beristirahat dengan tenang.	Lima menit. Itu saja.
Anda mengharapkan masalah?	Patchett menggunakan banyak otot mantan polisi.
ayo kita bunuh saja mereka.	Apa ?
Mengapa ?	lynn , dalam bahasa Inggris.
lynn , dalam bahasa Inggris.	dia sudah memberitahumu?
satu dari enam. di mana gadis itu?	petugas White meletakkan senjatanya dan
Terima kasih, tapi tidak, terima kasih.	terhadap kode Anda?
dia baik-baik saja.	aku tidak bertanya padamu.
lagi .	lebih banyak akan merugikan Anda.
itu tidak benar-benar seperti kepanikan bodoh.	Apa maksudmu ?
dimana arsip akademi kepolisian?	aku tidak punya waktu. aku punya
aku tidak punya waktu. aku punya	tunjukkan saja padaku di mana mereka berada!
apa pun ?	Tidak ada apa-apa .
membersihkan ?	lebih atau kurang
Saya dengar Anda suka menembak anjing.	anjing tidak punya alasan untuk hidup.
kawan, apa yang kau katakan?	ray kami punya senapan.
ray kami punya senapan.	Saya tidak memiliki senapan.
Larry sialan itu. Aku hampir mempercayainya.	percaya apa?
Kamu berumur dua puluh dua bukan, Ray?	mengatakan apa dan lalu apa.
Dan ?	dan apa?
tapi kalian rekan bisnis?	apa hubungannya itu
kamu tidak kamu.	kenapa tidak, kawan? keadilan yang hakiki?
kenapa tidak, kawan? keadilan yang hakiki?	sesuatu seperti itu.
ya dudley. aku benar.	Jadilah demikian.
Dudley, kita sudah membahas ini.	jawab ya atau tidak.
jawab ya atau tidak.	aku . . . tidak .
apakah Anda sudah membicarakan hal ini dengan orang lain, John?	TIDAK .
dia adalah lana turner.	Apa ?
Apa ?	dia kamu adalah kamu lana turner.
Apa ?	Itu pertanyaan sederhana.
sialan . . . kamu apa kamu?	saya ingin anda mengikuti bud white.
saya ingin anda mengikuti bud white.	bahkan aku tidak segila itu.
kamu membuat kesalahan?	ya. seluruh hidupku.
aku perlu bicara kepadamu.	Beri aku waktu sebentar ya?
brengsek . . .	Apa ?
Apa ?	kacamata .
kacamata .	jangan tembak aku.
l .a .p .d .	dasar brengsek. ada yang mengalahkan kita di sini.
Anda saksi kuncinya?	itu benar .
siapa namanya ?	pohon pakis .
pohon pakis .	kenapa dia melihat kuncup putih?
TIDAK .	tidak cukup baik.
Kapan ?	sekarang juga sebelum aku mundur.
sekarang juga sebelum aku mundur.	dimana dia ?
kamu aku dan putih ya?	sebenarnya kuncup hanya kuat di luar saja.
Kedengarannya Anda bersungguh-sungguh.	Kerugian layar perak adalah keuntungan Anda.
Kerugian layar perak adalah keuntungan Anda.	bagaimana dengan putih?
aku penasaran tentangmu	Mengapa ?
atas bukti apa ?	tidak ada. sebut saja itu firasat.
anakku masih perawan!	aku tidak meragukannya, ya Tuhan.
petugas berkulit putih?	seorang pria yang manis
seorang pria yang manis	di bawah rumah.
diam !	ada apa sampah?
dimana kamu mendengarnya?	sekitar .
apa yang dia lakukan disini sid?	kamu dekat dengan d.a. sampah?
sid gimana keadaan mereka?	turun di sekitar pergelangan kakiku.
saya baru saja meneleponnya.	tidak ada sersan. saya periksa dua kali.
dan tidak seorang pun akan tahu tentang ini?	Itu akan menjadi rahasia kita.
apakah itu sebuah pesta?	sesuatu seperti itu.
apakah kita pernah bertemu sebelumnya?	Ya .
ya topi. kembali ke narkotika.	oh ? di tempat lain ?
oh ? di tempat lain ?	pekerja pelacur dengan regu dua.
Kepada siapa pun! Saya butuh bantuan di sini!	siapa yang kamu panggil ?!
Ya .	apa yang dia katakan padamu?
apa yang dia katakan padamu?	Tidak ada apa-apa .
Tidak ada apa-apa .	apa yang dia berikan padamu?
apa yang dia berikan padamu?	Tidak ada apa-apa .
saya tidak tahu apa pun tentang zavitz.	Anda mengatakan dia berada di balik skema pemerasan.
depinto sudah mati.	Ya Tuhan.
kapan kamu bisa mendapatkannya di sini?	Saya sedang melakukan transfer sekarang.
Saya akan langsung datang kesana.	hati-hati danny.
Anda memilikinya dalam rekaman?	jelas bagaikan siang hari.
jelas bagaikan siang hari.	siapa lagi yang sudah kamu ceritakan?
Dengarkan aku	lelah mengejar tupai di sekitar taman?
lelah mengejar tupai di sekitar taman?	mendengarkan
kenapa kamu tidak telpon brill langsung saja.	saya tidak tahu siapa dia.
Sungguh ?	Ya .
pertanyaan macam apa itu?	yang langsung.
ceritakan pada kami tentang rachel banks.	rachel bank ?
merasa beruntung?	tidak terlalu tidak.
dia datang empat menit yang lalu.	ayo
mendengarkan	nah mereka akan menutup nomor pin.
nah mereka akan menutup nomor pin.	bagaimana kalau
bagaimana kalau	bagaimana jika kamu apa kamu?
bagaimana jika kamu apa kamu?	Bagaimana kalau kita ganggu mereka saja?
Bagaimana kalau kita ganggu mereka saja?	Bagaimana ?
Bahasa Indonesia: reynolds.	TIDAK .
TIDAK .	WHO ?
bagaimana dengan koran dan majalah?	hal yang sama ?
hal yang sama ?	Jadi apa yang kita lakukan sekarang?
menyetir .	kami tidak akan menyakitimu.
kami tidak akan menyakitimu.	menyetir .
menyetir .	Katakan padanya kita tidak akan menyakitinya.
tidak, dia tidak akan melakukannya.	sialan
Orang-orang ini sangat gigih.	ceritakan padaku tentang hal itu.
kita kehilangan mereka.	Itu tidak begitu sulit.
Itu tidak begitu sulit.	sialan .
menurut Anda apakah kita mengeluarkan cukup udara?	ya Tuhan . . .
berikan aku itu.	kamu yakin ?
kamu yakin ?	Anda sedang mengemudi.
apa-apaan ini ?!	mereka seharusnya tidak datang tanpa menelepon terlebih dahulu.
Ya .	NSA membunuhnya.
NSA membunuhnya.	Yesus. Apakah kamu punya bukti?
apa yang sedang terjadi ?	mereka ada disini.
mereka ada disini.	WHO ?
WHO ?	mereka .
mereka .	Di mana ?
Di mana ?	Di Sini ?
Di Sini ?	kamu disini ?!
Itu matahari terbit yang buruk sekali.	Benar sekali. Apakah kamu menemukan sesuatu?
Benar sekali. Apakah kamu menemukan sesuatu?	ya. jalan-jalanlah denganku.
bagaimana menurutmu ?	kelihatannya seperti detroit.
Saya menyadap panggilan telepon.	Bagaimana Anda menyiasati perintah ketuk?
bagaimana kamu tahu begitu banyak?	Bukan urusanmu.
apakah kamu menelpon seseorang?	Apa maksudmu ?
Apa maksudmu ?	Maksudku, apakah kamu menelpon seseorang?
Yesus!	aku telpon istriku!
aku telpon istriku!	apa yang harus aku katakan padamu?
apa yang harus aku katakan padamu?	saya tidak menggunakan nama saya.
saya tidak menggunakan nama saya.	apa yang harus aku katakan padamu?
apa yang harus aku katakan padamu?	kamu bilang padaku jangan menelpon.
kamu bilang padaku jangan menelpon.	Sudah kubilang jangan telpon.
dan kamu tidak akan bergerak sekarang	aku akan membayarmu.
Mereka hantu.	aku tidak tahu apa itu
aku tidak tahu apa pun tentangmu.	tidak apa-apa.
Anda tahu kesepakatannya. Tidak ada kontak.	siapa orang lainnya itu?
siapa mereka ?	Anda pernah mendengar tentang badan keamanan nasional?
Anda pernah mendengar tentang badan keamanan nasional?	apa hubungannya dengan ini?
apa hubungannya dengan ini?	itulah mereka.
itulah mereka.	nsa itu ?
nsa itu ?	Ya .
Ya .	kamu gila.
kamu gila.	Oke .
Oke .	Tunggu .
neil terima kasih atas bantuanmu.	kapan pun .
fbi cia nsa polisi setempat.	apakah Anda yakin tentang ini?
Hai Tuan D. Apa kabar?	Dylan, aku hanya bertanya pada Eric apakah
apakah itu baik-baik saja ?	kamu punya uang?
hai tuan dekan.	halo. halo maria.
Saya pikir dia akan sangat menyukai ini.	dengarkan daniel tunggu sebentar.
dengarkan daniel tunggu sebentar.	Dalam hal itu, saya pikir Anda pun akan melakukannya.
apakah kamu melihat sesuatu yang kamu suka?	saya sudah menikah.
saya sudah menikah.	Tidak apa-apa.
apakah itu bagus ?	sangat bagus .
Sudah agak terlambat untuk itu.	aku akan katakan.
aku akan katakan.	ukuran apa ?
ukuran apa ?	maaf ?
maaf ?	ukuran apa ?
ukuran apa ?	delapan. ukuran delapan.
delapan. ukuran delapan.	aku akan segera kembali.
aku akan segera kembali.	terima kasih .
terima kasih .	tetap tenang.
tetap tenang.	Oke .
Itulah maksudku.	kamu apa maksudmu?
Mengapa ?	karena hidupku sedang hancur.
apakah dia memberimu sesuatu?	TIDAK .
TIDAK .	apa pun?
apa pun?	tidak, tuan.
tidak, tuan.	apakah dia bersama seseorang ?
apakah dia bersama seseorang ?	tidak sejauh yang dapat aku lihat.
tidak sejauh yang dapat aku lihat.	tidak ada seorangpun yang memberimu apa pun?
tidak ada seorangpun yang memberimu apa pun?	TIDAK .
TIDAK .	kenapa kamu pergi ke harrison?
kenapa kamu pergi ke harrison?	untuk membeli pakaian dalam.
untuk membeli pakaian dalam.	untuk istrimu?
Hai, apakah kalian menemukan barangku?	barang kamu?
barang kamu?	perampokan.
sebuah laporan?	laporan polisi.
tentang apa ?	tentang kecelakaan itu.
Tuan Zavitz dalam masalah.	Masalah macam apa itu.
Masalah macam apa itu.	kau beritahu aku .
kau beritahu aku .	aku tak bisa.
Saya bukan pengacaranya.	lalu kenapa kamu tidak bisa memberitahuku.
lalu kenapa kamu tidak bisa memberitahuku.	karena saya tidak tahu.
apakah ini benar-benar sudah berakhir?	albert akan memberiku pekerjaanku kembali.
albert akan memberiku pekerjaanku kembali.	aku turut berduka cita atas kematian rachel
apakah sudah berakhir ?	sudah berakhir.
mereka bilang kamu membunuh polisi itu.	itu akan berakhir malam ini.
apakah kamu yakin kamu aman?	Ya .
apa itu ?	Ya Tuhan.
Maaf, aku tidak mempercayaimu.	tidak apa-apa .
kamu membuka benda itu?	pakaian dalam.
pakaian dalam.	Itu untuk Natal.
Itu untuk Natal.	aku merindukanmu.
apakah itu sakit ?	baiklah. . .ya.
baiklah. . .ya.	Bagus .
Bagus .	stacy
apakah eric di sekolah?	Ya .
Ya .	apakah ada yang pernah ke kantor ? polisi ? fbi ?
apakah ada yang pernah ke kantor ? polisi ? fbi ?	hanya wartawan.
Saya pikir kamu sebaiknya pergi sekarang Robert.	stacy
stacy	tinggalkan rumah ini.
Roberto	itu tidak benar .
yah kamu tahu	dia punya prioritasnya?
polisi ?	Ya .
Ya .	bagaimana Anda mendapatkan informasi tentang depinto?
bagaimana Anda mendapatkan informasi tentang depinto?	Apa maksudmu ?
Apa maksudmu ?	dengan siapa kamu bekerja untuk mendapatkannya
apakah anda sudah bekerja dengan rachel?	TIDAK .
TIDAK .	Maaf .
Maaf .	tidak apa-apa .
sesuatu yang buruk terjadi malam ini.	Apa ?
Apa ?	Saya melihat seorang pria meninggal.
Saya melihat seorang pria meninggal.	Apa maksudmu ?
polisi !	tidak terlalu bagus tapi
Kanan .	Anda harus menanggapinya dengan serius.
Wah.	dengarkan dia .
koper saya	Pak ?
Pak ?	koper saya hilang.
itu kartu yang baru.	mungkin belum terhubung.
mungkin belum terhubung.	di sini Anda dapat menggunakan ini.
apakah ini lelucon sialan?	saya tidak percaya itu tidak.
saya tidak percaya itu tidak.	kenapa aku harus
itu bukan aku.	bukan itu?
bukan itu?	kamu tidak tahu siapa orangnya
sebenarnya itu tidak benar.	kamu tidak memencet depinto?
aku kamu peduli bagaimana caranya.	percakapan ini sudah berakhir.
Saya minta maaf tentang hal itu.	apa yang membuatmu berpikir itu kamu?
apa yang membuatmu berpikir itu kamu?	itu bukan aku?
itu bukan aku?	Kamu bodoh, kamu tahu itu?
Kamu bodoh, kamu tahu itu?	Ya .
aku tak bisa.	kamu harus .
kamu harus .	aku belum pernah bertemu dia?
kamu tidak bekerja di sana lagi bobby.	itu sementara.
itu sementara.	omong kosong.
omong kosong.	Rachel
Rachel	kita kena masalah.
kita kena masalah.	Saya akan memperbaikinya.
Saya akan memperbaikinya.	Bagaimana ?
Bagaimana ?	ceritakan padaku tentang brill.
siapa yang melakukan ini ?	aku harus pergi.
aku harus pergi.	bisakah kamu menunggu sebentar?
selain brill.	selain aku.
selain aku.	kenapa aku harus
kamu tidak .	bagaimana saya bisa yakin.
Terima kasih .	makan ikanmu.
segera. atau setidaknya lebih cepat daripada tidak sama sekali.	Itulah cara kerjanya.
Itulah cara kerjanya.	cemerlang ?
cemerlang ?	Ya .
Ya .	Jadi kamu sudah bilang.
kapan aku bisa bertemu dengannya?	depinto ?
depinto ?	cemerlang.
cemerlang.	tidak pernah .
bagaimana kabar ikan troutnya?	rasanya seperti ikan.
rasanya seperti ikan.	itu ikan.
apakah kamu suka ikan ?	tidak sebanyak itu.
dia tidak memberimu aku	jika tidak, kita mungkin harus
jika tidak, kita mungkin harus	jika tidak, Anda mungkin harus apa?
jika tidak, Anda mungkin harus apa?	kami lebih suka tidak
kami lebih suka tidak	persetan denganmu. kamu mungkin harus
dia tidak .	kami yakin dia melakukannya.
kami yakin dia melakukannya.	kamu salah .
dia tidak memberimu aku	jika tidak, kita mungkin harus
jika tidak, kita mungkin harus	jika tidak, Anda mungkin harus apa?
jika tidak, Anda mungkin harus apa?	kami lebih suka tidak
kami lebih suka tidak	Persetan denganmu. Kamu mungkin harus apa?
kursi .	kamu brilian.
sepatu Anda.	sepatu saya?
sepatu saya?	Berikan aku sepatunya.
polisi	Pergi kau.
siapa namanya ?	cemerlang.
Roberto	dimana stacy?
dimana stacy?	Dia tidak ingin berbicara denganmu.
Dia tidak ingin berbicara denganmu.	apa yang sedang kamu bicarakan
apa yang sedang kamu bicarakan	Dia tidak bisa bicara padamu sekarang.
Dia tidak bisa bicara padamu sekarang.	Mengapa ?
tidak apa-apa untuk menggunakan telepon.	Baiklah !
Baiklah !	tidak ada angka.
ayah !	apakah aku mengenalmu ?
apakah aku mengenalmu ?	kemana saja kamu?
dia bercanda.	dimana ibu ?
dimana ibu ?	dia ada di dapur.
Kamu sedang mempelajari pelajaran yang kejam.	apakah itu hadiah natalku?
apakah itu hadiah natalku?	beberapa dari mereka.
beberapa dari mereka.	bisakah saya membukanya?
bisakah saya membukanya?	Tentu saja, lanjutkan.
Tentu saja, lanjutkan.	Sungguh ?
Sungguh ?	dalam mimpimu.
dalam mimpimu.	ayah !
ayah !	Kamu tinggal untuk makan malam?
bobby ? saran ?	Ya ?
Ya ?	serahkan dirimu.
serahkan dirimu.	jerry ?
jerry ?	Ya ?
Ya ?	pergi bercinta denganmu.
Maafkan aku, Bung.	tidak. tidak, tidak apa-apa.
jerry	kristus!
kristus!	ssh !
ssh !	polisi
tenang .	mereka membunuh rachel.
mereka membunuh rachel.	rachel sudah meninggal?
rachel sudah meninggal?	Ya .
Ya .	Yesus.
Yesus.	Barang-barangku ada di seluruh apartemennya.
Barang-barangku ada di seluruh apartemennya.	polisi
mengapa mereka mau	aku tidak tahu. maksudku
aku tidak tahu. maksudku	mengapa nsa mau
mengapa nsa mau	aku tidak tahu !
aku tidak tahu !	kamu lelah.
kamu lelah.	jerry
jerry	Dengarkan aku .
Dengarkan aku .	kamu harus
Bobby, kamu sudah melampaui batas kemampuanmu.	pergi ke em jerry.
pergi ke em jerry.	saya punya keluarga.
saya punya keluarga.	begitu juga aku!
penyelidikan? itu adalah kecelakaan bus.	dia mendengar bahwa hal itu telah meningkat.
dia mendengar bahwa hal itu telah meningkat.	ke dalam apa ?
bisakah aku bicara denganmu sebentar?	meja ?
apakah mereka mengambil pakaianmu?	TIDAK .
TIDAK .	Biasanya mereka mengambil pakaian.
Biasanya mereka mengambil pakaian.	Kenapa kamu tidak menelepon mereka?
blendernya?	aku suka blenderku.
polisi	Sudah beberapa tahun.
Sudah beberapa tahun.	Ya .
saya butuh bantuan.	ceritakan padaku tentang hal itu.
ceritakan padaku tentang hal itu.	Bagaimana saya bisa menghubungi anda?
Bagaimana saya bisa menghubungi anda?	apakah kamu baik-baik saja ?
apakah kamu baik-baik saja ?	apakah kamu masih di kota kristal?
apakah kamu masih di kota kristal?	ya apa yang terjadi?
apakah zavitz dalam masalah?	aku tidak tahu .
Anda ingat daniel zavitz?	Ya .
Ya .	dia tertabrak bus.
dia tertabrak bus.	apa hubungannya itu denganmu ?
apa hubungannya itu denganmu ?	sejujurnya saya tidak tahu.
Baiklah, kami tentu ingin membantu Anda.	kamu akan ?
kamu akan ?	ya. tapi kita tidak bisa.
ya. tapi kita tidak bisa.	mengapa tidak ?
ya pak.	kalau begitu apa pendapatmu?
apa sih maksudnya ?	itu berarti kamu di pihak siapa?
Persetan denganmu.	Apa ?
Apa ?	Aku bilang persetan denganmu.
bagaimana	kami tidak tahu.
kami tidak tahu.	menerangkan bahwa .
apaan?!	ya pak.
ya pak.	Kamu bercanda.
Kamu bercanda.	tidak, tuan.
tidak, tuan.	dean s dengan lyle .
jadi mereka tau segalanya.	jika mereka telah melihat videonya.
jika mereka telah melihat videonya.	Oh, mari kita asumsikan mereka punya.
dia mendapat bantuan.	bantuan dari siapa? kristus.
kita harus	mengerti .
Bagaimana dengan kasetnya?	kami menemukan aslinya.
kami menemukan aslinya.	aslinya ?
aslinya ?	ada pemindahan.
ada pemindahan.	apakah aku harus mengerti
Ya ?	federal express untuk zavitz.
federal express untuk zavitz.	federal ekspres?
apakah kamu punya gambaran posisi seperti apa ini?	dia membawa bendera u sialan itu.
sekarang sudah jelas?	ya pak.
TIDAK .	kalau begitu mari kita asumsikan saya tidak.
kalau begitu mari kita asumsikan saya tidak.	ya pak.
Maafkan aku Katharine.	Saya tahu .
apakah kita akan baik-baik saja?	ya . tentu saja .
ya . tentu saja .	Aduh Buyung .
kenapa kamu membenciku ?	Apa ?
Apa ?	tidakkah kau tahu kau membuat semua orang gila?
tidakkah kau tahu kau membuat semua orang gila?	jangan bicara.
itu terlalu menyakitkan.	aku tau sayang, aku minta maaf.
mengapa dia membawamu?	suatu kejutan katanya.
kenapa kamu pegang kerah bajunya ?	Apa ?
berdansa denganku.	TIDAK .
apakah kita akan baik-baik saja?	ya. ya. tentu saja.
ini apa ini ?	Itu lagu rakyat.
aku masih bisa merasakanmu.	ini kosong baru saja datang!
bilang kamu sakit.	apa ? tidak !
apa ? tidak !	katakanlah kamu merasa pingsan karena sinar matahari.
katakanlah kamu merasa pingsan karena sinar matahari.	TIDAK .
apa yang paling kamu benci ?	kebohongan. apa yang paling kamu benci?
Kapan kamu paling bahagia?	Sekarang .
Sekarang .	Kapankah anda paling tidak bahagia?
Kapankah anda paling tidak bahagia?	Sekarang .
Saya terkesan Anda bisa menjahit.	Bagus .
Bagus .	Kamu menjahit dengan sangat buruk.
Kamu menjahit dengan sangat buruk.	kamu tidak menjahit sama sekali!
kamu tidak mau masuk?	TIDAK .
TIDAK .	maukah kamu masuk?
